URL,Model,Field,Runs,Most common,Consistency ratio,Benchmark,absent_count,fail_count,inapplicable_count,pass_count,field_accuracy,is_consistent
uh.edu,gpt-4,Search Field,10,inapplicable,0.9,inapplicable,0,1,9,0,0.9,False
uh.edu,gpt-4,First Name,10,inapplicable,0.9,inapplicable,0,1,9,0,0.9,False
uh.edu,gpt-4,Last Name,10,inapplicable,0.9,inapplicable,0,1,9,0,0.9,False
uh.edu,gpt-4,Email Address,10,pass,1.0,fail,0,0,0,10,0.0,True
uh.edu,gpt-4,Mobile Phone Number,10,inapplicable,0.9,fail,0,1,9,0,0.1,False
uh.edu,gpt-4,Date of Birth (Month)(select),10,absent,1.0,fail,10,0,0,0,0.0,True
uh.edu,gpt-4,Date of Birth (Day)(select),10,absent,1.0,fail,10,0,0,0,0.0,True
uh.edu,gpt-4,Date of Birth (Year)(select),10,absent,1.0,fail,10,0,0,0,0.0,True
uh.edu,gpt-4,When would you like to start classes at UH?(select),10,absent,1.0,fail,10,0,0,0,0.0,True
uh.edu,gpt-4,You plan to enroll as a:(select),10,absent,1.0,fail,10,0,0,0,0.0,True
