URL,Model,Field,Runs,Most common,Consistency ratio,Benchmark,fail_count,inapplicable_count,pass_count,field_accuracy,is_consistent
adsmartfromsky,gpt-5,Your first name,10,pass,1.0,pass,0,0,10,1.0,True
adsmartfromsky,gpt-5,Your surname,10,pass,1.0,pass,0,0,10,1.0,True
adsmartfromsky,gpt-5,Company name,10,pass,1.0,pass,0,0,10,1.0,True
adsmartfromsky,gpt-5,Location,10,pass,1.0,pass,0,0,10,1.0,True
adsmartfromsky,gpt-5,Telephone,10,pass,1.0,pass,0,0,10,1.0,True
adsmartfromsky,gpt-5,Email (email),10,pass,1.0,pass,0,0,10,1.0,True
adsmartfromsky,gpt-5,Phone (radio),10,fail,1.0,fail,10,0,0,1.0,True
adsmartfromsky,gpt-5,Email (radio),10,fail,1.0,fail,10,0,0,1.0,True
adsmartfromsky,gpt-5,Agency (radio),10,fail,1.0,fail,10,0,0,1.0,True
adsmartfromsky,gpt-5,Direct advertiser (radio),10,fail,1.0,fail,10,0,0,1.0,True
adsmartfromsky,gpt-5,Other (radio),10,fail,1.0,fail,10,0,0,1.0,True
adsmartfromsky,gpt-5,How did you hear about AdSmart? (select),10,pass,1.0,pass,0,0,10,1.0,True
adsmartfromsky,gpt-5,Please specify,10,inapplicable,0.5,,1,4,5,,False
adsmartfromsky,gpt-5,Any comments regarding AdSmart or your business?,10,pass,1.0,pass,0,0,10,1.0,True
adsmartfromsky,gpt-5,No Label (checkbox),10,inapplicable,1.0,inapplicable,0,10,0,1.0,True
adsmartfromsky,gpt-5,Please leave this field empty.,10,inapplicable,1.0,,0,10,0,,True
