URL,Model,Field,Runs,Most common,Consistency ratio,Benchmark,absent_count,pass_count,field_accuracy,is_consistent
adsmartfromsky,gpt-4,Your first name,10,pass,1,pass,0,10,1.0,True
adsmartfromsky,gpt-4,Your surname,10,pass,1,pass,0,10,1.0,True
adsmartfromsky,gpt-4,Company name,10,pass,1,pass,0,10,1.0,True
adsmartfromsky,gpt-4,Location,10,pass,1,pass,0,10,1.0,True
adsmartfromsky,gpt-4,Telephone,10,pass,1,pass,0,10,1.0,True
adsmartfromsky,gpt-4,Email,10,pass,1,pass,0,10,1.0,True
adsmartfromsky,gpt-4,How did you hear about AdSmart?,10,pass,1,pass,0,10,1.0,True
adsmartfromsky,gpt-4,Please specify,10,pass,1,,0,10,,True
adsmartfromsky,gpt-4,Any comments regarding AdSmart or your business?,10,pass,1,pass,0,10,1.0,True
adsmartfromsky,gpt-4,AdSmart from Sky updates (checkbox),10,absent,1,inapplicable,10,0,0.0,True
adsmartfromsky,gpt-4,Email (radio),10,absent,1,pass,10,0,0.0,True
adsmartfromsky,gpt-4,Phone (radio),10,absent,1,pass,10,0,0.0,True
adsmartfromsky,gpt-4,Direct advertiser (radio),10,absent,1,pass,10,0,0.0,True
adsmartfromsky,gpt-4,Other (radio),10,absent,1,pass,10,0,0.0,True
adsmartfromsky,gpt-4,Agency (radio),10,absent,1,pass,10,0,0.0,True
