URL,Model,Field,Runs,Most common,Consistency ratio,Benchmark,absent_count,fail_count,inapplicable_count,pass_count,unknown_count,field_accuracy,is_consistent
adsmartfromsky,gpt-4,Your first name,10,inapplicable,0.6,inapplicable,0,4,6,0,0,0.6,False
adsmartfromsky,gpt-4,Your surname,10,inapplicable,0.4,inapplicable,2,4,4,0,0,0.4,False
adsmartfromsky,gpt-4,Company name,10,inapplicable,0.4,inapplicable,2,4,4,0,0,0.4,False
adsmartfromsky,gpt-4,Location,10,inapplicable,0.4,inapplicable,2,4,4,0,0,0.4,False
adsmartfromsky,gpt-4,Telephone,10,pass,0.5,fail,2,3,0,5,0,0.3,False
adsmartfromsky,gpt-4,Email,10,pass,0.5,fail,2,3,0,5,0,0.3,False
adsmartfromsky,gpt-4,Phone (radio),10,inapplicable,0.7,pass,3,0,7,0,0,0.0,False
adsmartfromsky,gpt-4,Email (radio),10,inapplicable,0.5,pass,3,0,5,0,2,0.0,False
adsmartfromsky,gpt-4,How did you hear about AdSmart? (select),10,absent,1.0,pass,10,0,0,0,0,0.0,True
adsmartfromsky,gpt-4,Any comments regarding AdSmart or your business?,10,absent,0.9,inapplicable,9,0,1,0,0,0.1,False
adsmartfromsky,gpt-4,Other (radio),10,absent,0.9,pass,9,0,1,0,0,0.0,False
adsmartfromsky,gpt-4,AdSmart from Sky updates (checkbox),10,absent,1.0,inapplicable,10,0,0,0,0,0.0,True
adsmartfromsky,gpt-4,Direct advertiser (radio),10,absent,0.8,pass,8,0,2,0,0,0.0,False
adsmartfromsky,gpt-4,Agency (radio),10,absent,0.8,pass,8,0,2,0,0,0.0,False
