Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-5,cricbuzz,2,2,0,0,1.0,1.0,1.0,1.0,4/5 (80.0%),4,1
gpt-5,cricbuzz,1,1,0,1,0.6666666666666666,1.0,0.5,0.6666666666666666,3/5 (60.0%),3,2
gpt-5,cricbuzz,2,2,0,0,1.0,1.0,1.0,1.0,4/5 (80.0%),4,3
gpt-5,cricbuzz,1,0,0,0,1.0,1.0,1.0,1.0,1/5 (20.0%),1,4
gpt-5,cricbuzz,2,1,0,0,1.0,1.0,1.0,1.0,3/5 (60.0%),3,5
gpt-5,cricbuzz,1,1,0,1,0.6666666666666666,1.0,0.5,0.6666666666666666,3/5 (60.0%),3,6
gpt-5,cricbuzz,1,1,0,1,0.6666666666666666,1.0,0.5,0.6666666666666666,3/5 (60.0%),3,7
gpt-5,cricbuzz,2,2,0,0,1.0,1.0,1.0,1.0,4/5 (80.0%),4,8
gpt-5,cricbuzz,2,1,0,0,1.0,1.0,1.0,1.0,3/5 (60.0%),3,9
gpt-5,cricbuzz,2,2,0,0,1.0,1.0,1.0,1.0,4/5 (80.0%),4,10
ALL,ALL,16,13,0,3,0.90625,1.0,0.8421052631578947,0.9142857142857143,N/A,32,TOTAL
