Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,zomato,0,0,3,0,0.0,0.0,0.0,0.0,3/5 (60.0%),3,1
gpt-4,zomato,0,0,2,0,0.0,0.0,0.0,0.0,2/3 (66.7%),2,2
gpt-4,zomato,0,0,3,0,0.0,0.0,0.0,0.0,3/5 (60.0%),3,3
gpt-4,zomato,0,0,3,0,0.0,0.0,0.0,0.0,3/5 (60.0%),3,4
gpt-4,zomato,0,0,3,0,0.0,0.0,0.0,0.0,3/5 (60.0%),3,5
gpt-4,zomato,0,0,3,0,0.0,0.0,0.0,0.0,3/4 (75.0%),3,6
gpt-4,zomato,0,0,3,0,0.0,0.0,0.0,0.0,3/4 (75.0%),3,7
gpt-4,zomato,0,0,3,0,0.0,0.0,0.0,0.0,3/5 (60.0%),3,8
gpt-4,zomato,0,0,3,0,0.0,0.0,0.0,0.0,3/5 (60.0%),3,9
gpt-4,zomato,0,0,3,0,0.0,0.0,0.0,0.0,3/5 (60.0%),3,10
ALL,ALL,0,0,29,0,0.0,0.0,0.0,0.0,N/A,29,TOTAL
