URL,Model,Field,Runs,Most common,Consistency ratio,Benchmark,absent_count,pass_count,field_accuracy,is_consistent
adsmartfromsky,gpt-4,Your first name (text),10,pass,1.0,pass,0,10,1.0,True
adsmartfromsky,gpt-4,Your surname (text),10,absent,0.7,pass,7,3,0.3,False
adsmartfromsky,gpt-4,Company name (text),10,absent,0.7,pass,7,3,0.3,False
adsmartfromsky,gpt-4,Location (text),10,absent,0.7,pass,7,3,0.3,False
adsmartfromsky,gpt-4,Telephone (tel),10,absent,0.7,pass,7,3,0.3,False
adsmartfromsky,gpt-4,Email (email),10,absent,0.7,pass,7,3,0.3,False
adsmartfromsky,gpt-4,How did you hear about AdSmart? (select),10,absent,0.7,pass,7,3,0.3,False
adsmartfromsky,gpt-4,Please specify (text),3,pass,1.0,,0,3,,True
adsmartfromsky,gpt-4,Any comments regarding AdSmart or your business? (textarea),10,absent,0.7,pass,7,3,0.3,False
adsmartfromsky,gpt-4,Direct advertiser (radio),10,absent,1.0,fail,10,0,0.0,True
adsmartfromsky,gpt-4,Other (radio),10,absent,1.0,fail,10,0,0.0,True
adsmartfromsky,gpt-4,Phone (radio),10,absent,1.0,fail,10,0,0.0,True
adsmartfromsky,gpt-4,AdSmart from Sky updates (checkbox),10,absent,1.0,inapplicable,10,0,0.0,True
adsmartfromsky,gpt-4,Agency (radio),10,absent,1.0,fail,10,0,0.0,True
