Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,cricbuzz,1,1,1,1,0.5,0.5,0.5,0.5,4/5 (80.0%),4,1
gpt-4,cricbuzz,1,2,0,1,0.75,1.0,0.5,0.6666666666666666,4/5 (80.0%),4,2
gpt-4,cricbuzz,1,2,0,1,0.75,1.0,0.5,0.6666666666666666,4/5 (80.0%),4,3
gpt-4,cricbuzz,1,2,0,1,0.75,1.0,0.5,0.6666666666666666,4/5 (80.0%),4,4
gpt-4,cricbuzz,1,2,0,1,0.75,1.0,0.5,0.6666666666666666,4/5 (80.0%),4,5
gpt-4,cricbuzz,1,2,0,1,0.75,1.0,0.5,0.6666666666666666,4/5 (80.0%),4,6
gpt-4,cricbuzz,1,2,0,1,0.75,1.0,0.5,0.6666666666666666,4/5 (80.0%),4,7
gpt-4,cricbuzz,1,1,1,1,0.5,0.5,0.5,0.5,4/5 (80.0%),4,8
gpt-4,cricbuzz,1,2,0,1,0.75,1.0,0.5,0.6666666666666666,4/5 (80.0%),4,9
gpt-4,cricbuzz,1,2,0,1,0.75,1.0,0.5,0.6666666666666666,4/5 (80.0%),4,10
ALL,ALL,10,18,2,10,0.7,0.8333333333333334,0.5,0.625,N/A,40,TOTAL
