URL,Model,Field,Runs,Most common,Consistency ratio,Benchmark,absent_count,fail_count,inapplicable_count,field_accuracy,is_consistent
uh.edu,gpt-5,Search Field (first),10,inapplicable,1.0,inapplicable,0,0,10,1.0,True
uh.edu,gpt-5,Search Field (second),10,inapplicable,1.0,inapplicable,0,0,10,1.0,True
uh.edu,gpt-5,First Name*,10,inapplicable,0.9,inapplicable,0,1,9,0.9,False
uh.edu,gpt-5,Last Name*,10,inapplicable,0.9,inapplicable,0,1,9,0.9,False
uh.edu,gpt-5,Email Address*,10,fail,1.0,fail,0,10,0,1.0,True
uh.edu,gpt-5,Mobile Phone Number*,10,inapplicable,0.7,fail,0,3,7,0.3,False
uh.edu,gpt-5,Date of Birth (Month)(select),10,absent,1.0,fail,10,0,0,0.0,True
uh.edu,gpt-5,Date of Birth (Day)(select),10,absent,1.0,fail,10,0,0,0.0,True
uh.edu,gpt-5,Date of Birth (Year)(select),10,absent,1.0,fail,10,0,0,0.0,True
uh.edu,gpt-5,You plan to enroll as a:(select),10,absent,1.0,fail,10,0,0,0.0,True
uh.edu,gpt-5,When would you like to start classes at UH?(select),10,absent,1.0,fail,10,0,0,0.0,True
