URL,Model,Field,Runs,Most common,Consistency ratio,Benchmark,absent_count,fail_count,inapplicable_count,field_accuracy,is_consistent
uh.edu,gpt-5,Search Field (1),10,inapplicable,1.0,inapplicable,0,0,10,1.0,True
uh.edu,gpt-5,Search Field (2),10,inapplicable,1.0,inapplicable,0,0,10,1.0,True
uh.edu,gpt-5,First Name*,10,inapplicable,0.9,inapplicable,1,0,9,0.9,False
uh.edu,gpt-5,Last Name*,10,inapplicable,0.9,inapplicable,1,0,9,0.9,False
uh.edu,gpt-5,Email Address*,10,fail,0.9,fail,1,9,0,0.9,False
uh.edu,gpt-5,Mobile Phone Number*,10,inapplicable,0.9,inapplicable,1,0,9,0.9,False
uh.edu,gpt-5,Date of Birth (Day)(select),10,absent,1.0,pass,10,0,0,0.0,True
uh.edu,gpt-5,When would you like to start classes at UH?(select),10,absent,1.0,pass,10,0,0,0.0,True
uh.edu,gpt-5,You plan to enroll as a:(select),10,absent,1.0,pass,10,0,0,0.0,True
uh.edu,gpt-5,Date of Birth (Year)(select),10,absent,1.0,pass,10,0,0,0.0,True
uh.edu,gpt-5,Date of Birth (Month)(select),10,absent,1.0,pass,10,0,0,0.0,True
