URL,Model,Field,Runs,Eval counts,Most common,Consistency ratio,Benchmark
uh.edu,gpt-4,Search Field (text),10,10×inapplicable,inapplicable,1,inapplicable
uh.edu,gpt-4,First Name*,10,"9×pass, 1×absent",pass,0.9,pass
uh.edu,gpt-4,Last Name*,10,"9×pass, 1×absent",pass,0.9,pass
uh.edu,gpt-4,Month (select),10,"9×pass, 1×absent",pass,0.9,pass
uh.edu,gpt-4,Day (select),10,"9×pass, 1×absent",pass,0.9,pass
uh.edu,gpt-4,Year (select),10,"9×pass, 1×absent",pass,0.9,pass
uh.edu,gpt-4,Email Address*,10,"9×pass, 1×absent",pass,0.9,pass
uh.edu,gpt-4,Mobile Phone Number*,10,"9×pass, 1×absent",pass,0.9,pass
uh.edu,gpt-4,You plan to enroll as a:,10,"9×pass, 1×absent",pass,0.9,pass
uh.edu,gpt-4,When would you like to start classes at UH?*,10,"9×pass, 1×absent",pass,0.9,pass
